,job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
6,7,Head of Content (m/f),"DE, BE, Berlin",ANDROIDPIT,20000-28000,"Founded in 2009, the Fonpit AG rose with its international web portal ANDROIDPIT to the world's largest Android community. Every month over 18 Million Android and tech enthusiasts around the world log into ANDROIDPIT , where they know they'll find the latest and most innovative information about Android and Android-Apps in 6 different languages. Our business activities consist of close collaboration with many of the world's largest tech, web and mobile companies.In 2014, APP MEDIA amended Fonpit AG’s brand portfolio. As a one-stop shop for app marketing,APP MEDIA delivers quality performance marketing for apps to give clients the most successful campaigns possible with custom concepts and sustainable results.Located in the heart of Berlin, we are constantly looking for highly motivated and success driven personalities to help ANDROIDPIT and APP MEDIA grow even further.",Your Responsibilities: Manage the English-speaking editorial team and build a team of best-in-class editorsSet up content creation schedules and ensure deadlines are adhered toResearch and write about the latest tech topics and news in relation to the Android ecosystemEnsure that the content on the site is of a consistently high qualityBe the face and voice of #URL_874846adb69d98865d05ec57ce2425d9e363ef71e0c8436e59e86a136a508716#,"Your Know-How:                                                                                                                                                               University or college degree in journalism, media or other communication studiesProfessional experience in relevant fields, e.g. online editorial, community management, tech writing…Possession of contacts within key companies in the mobile industryExperience in leading &amp; motivating small teamsPassion for the Android world, honed writing skills with a personal flair, and willingness to share your Android knowledgeStrong commitment to success and a motivating and inspiring personality.Comfortable in a dynamic startup environmentEnglish native speakerLocated in Berlin or surroundings","Your Benefits: Being part of a fast-growing company in a booming industryFast decision-making thanks to flat hierarchies and clear structuresFreedom to unfold your own ideas &amp; creativity and to take over responsibility right from the startContinued growth in a successful, international team, which thrives in a familiar, but professional, working atmosphereFree drinks, table tennis, lunch catering, Feel Good Management, team events, office dogs and more",0,1,1,Full-time,Mid-Senior level,Master's Degree,Online Media,Management,0
15,16,VP of Sales - Vault Dragon,"SG, 01, Singapore",Sales,120000-150000,"Jungle Ventures is the leading Singapore based, entrepreneur backed, venture capital firm, that funds and actively supports start-ups in scaling across Asia Pacific. We pride ourselves on leading investments with conviction.We invest in global start-ups that are solving problems relevant to Asia Pacific markets. We currently have investments in US, Singapore, India, Australia, Thailand, Malaysia, and the Philippines. As one of the most active investors in the region we have made 27 investments to date, including Travelmob which was acquired by Homeaway last year.Jungle are the only truly active investors in the region which means working with us doesn’t mean an investment and occasional board meeting. Our team of Venture Partners, Advisors and Operating Partners roll-up their sleeves and work side by side with you to solve the little problems and scale across countries.","About Vault Dragon Vault Dragon is Dropbox for your physical stuff - a startup that is changing the aesthetic face of Singapore by creating more space in households and offices. We also save countless doctors, lawyers and professional services firms everyday from the catastrophe of document storage and management. Singapore Business Review magazine says we are one of the 20 hottest startups in Singapore. Don’t believe a word they are saying, because we are THE hottest startup in Singapore.Our crusade against the lack of space in Singapore is supported by top VC funds, including Jungle Ventures, 500 startups and Golden Gate ventures. Vault Dragon is the hero Singapore deserves and the one it needs right now, come and join!Job DescriptionVault Dragon is looking for a VP of Sales who will 'roll up their sleeves' and drive sales to both B2B and B2C customers. We need someone as persistent as Seth (Boiler Room) and as driven as Jordan (Wolf of Wall Street). If you don't relate, then you can stop reading. But if “No” is not a word in your dictionary, and you love selling like we love pancakes, then this is definitely the job for you. The only boundary when it comes to working with us is your own imagination.The VP of Sales will (breathe in) drive planning, reporting, quota setting and management, sales process optimization, sales job design, sales training, sales program implementation, sales compensation design and administration, and recruiting and selection of sales force talent (breathe out). In addition they are responsible for the overall productivity and effectiveness of the sales organization. Reporting to the Founders, the VP of Sales also works closely with internal and external stakeholders to ensure the appropriate objectives and priorities are enabled within the sales organization.ResponsibilitiesUnleash the Dragon and and lead the sales charge for our awesome service. We are a rapidly growing startup and it's ground zero for a sales master to come into their own how they always dreamed of. You aren't going to be micro-managed here, so how you drive sales is up to you, so long as no bunnies are harmed in the process.We are looking for a change maker who knows what they want and how to do it, but high-level responsibilities include:Smash sales targets and set new milestonesDevelop quality sales material yourselfGenerate a high volume of sales related activity including cold calls, presentations, proposals, and client relationship developmentDevelop account strategies to drive long term revenue growth and upsellImplimenting enabling technology including CRM (and ensuring compliance)Hiring and training and incentivising your own sales team for both phone and field salesConceiving and implimenting sales processes that get resultsCoordinating sales forecasting, planning, and budgeting processes with the Founders in alignment with the business plan KPIs and continuous reportingDeveloping a 'Sales bible' to be leveraged as we expand outwards","Key Superpowers3-5 years of high-pressure sales experience, but if you absorb knowledge like a sponge and keep getting promoted we are flexiblePreferably mastery of both phone and field sales for both business and retail customersKnow the ins and outs of CRM'Get tech,' we are a tech company at heart. You know the finer points of PowerPoint formatting and how to install Dropbox yourself (Yes, seriously, that's apparently a thing)Entrepreneurial spiritWinner mindsetPersuasionSelf motivationResilience and tenaciousnessWorking well under stressGoal drivenPreferable: Knowledge and connections in Singapore and across more developed citiesTeleportation (Optional)","Basic: SGD 120,000Equity negotiable for a rock starGround floor opportunity to make a difference and do things as Dean said ""my way""Hire and train your own superhero sales team, the way you wantMassive degree of freedom to own and deliver resultsFree beer. What!",0,1,1,Full-time,Executive,Bachelor's Degree,Facilities Services,Sales,0
23,24,"Vice President, Sales and Sponsorship (Businessfriend.com)","US, CA, Carlsbad",Businessfriend.com,100000-120000,"WDM Group is an innovative, forward thinking digital company aimed at bringing business executives up-to-date with the latest news, information and trends from across the globe.Aimed at informing, engaging, educating and interacting with business executives the world over, WDM Group’s products takes an in-depth look at inter-country relations, trade and tourism, prominent industries, success stories and lessons to be learned in business.With a physical presence in many of the world’s largest economies, WDM Group is abreast with news and developments occurring around the clock. We aim to keep our ears to the ground and our fingers on the pulse to bring busy executives a breakdown of the biggest and most interesting updates from across the world’s largest and most influential territories and industries.With WDM Group you don’t just read the news, you make it.","#URL_eda2500ddcedb60957fcd7f5b164e092966f8c4e8fb89ce70a16bea1545a297d#, an up and coming social media company, is seeking a VP, Sales and Sponsorship executive to be responsible for creating and selling branded, high-impact social media marketing and sponsorship programs for its key product, “The Ultimate Business App.""#URL_eda2500ddcedb60957fcd7f5b164e092966f8c4e8fb89ce70a16bea1545a297d# combines the ability to discover, connect and share with fellow professionals and offers the unique ability to communicate, manage, store and notate all aspects of your working life from one website and one mobile app. It’s positioned to be the world's newest social networking platform for professionals and the companies they work for.Do you have what it takes to be part of “The Next Big Thing” to hit social media? Read on…Responsibilities:Create, package and sell marketing and sponsorship opportunities within the Businessfriend suite of connection and communication tools to boost web site traffic and overall usage;Craft sales presentations that creatively and distinctly differentiate and communicate unique Businessfriend assets to targeted prospects;Educate / position Businessfriend assets and marketing capabilities to the sponsor/ advertiser marketplace; demonstrate the branding values of Businessfriend to create unique marketing value with company assets;Structure, price, successfully negotiate and close all deals and arrangements;Meet or exceed revenue and key account goals;Oversee sponsor contracts, invoicing, and accounts receivable or develop processes to ensure execution and collections;Responsible for working with senior leadership to create annual budgets, including sales forecasts and expenses.","Job Requirements:A reputation as a ""go-getter"" and ""rainmaker "";Solid relationships with senior level marketing and advertising executives at relevant corporations located in or doing business in the social media arena;Key contacts with brand decision makers, media buyers, planners and senior media management;Demonstrated ability to develop and nurture relationships and work effectively at all levels of the decision process;Strong interpersonal and leadership abilities, with excellent oral and written communication skills;A creative salesperson with the ability to open doors and a demonstrated track record closing innovative sponsorships and integrated marketing programs;High energy and a personality that thrives in a fast-paced, changing environment;Demonstrated high-level relationship building and negotiating skills.","Businessfriend will offer a competitive six figure salary for this executive role as well as commission and stock options. We offer three weeks vacation to start as well as paid holidays. Additionally, we provide health, dental and vision insurance.",0,1,0,Full-time,Executive,Unspecified,Internet,Sales,0
98,99,IC&E Technician,"US, , Stocton, CA",Oil & Energy,95000-115000,"                                                                                 Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]","IC&amp;E Technician | Bakersfield, CA Mt. PosoPrincipal Duties and Responsibilities: Calibrates, tests, maintains, troubleshoots, and installs all power plant instrumentation, control systems and electrical equipment.Performs maintenance on motor control centers, motor operated valves, generators, excitation equipment and motors.Performs preventive, predictive and corrective maintenance on equipment, coordinating work with various team members.Designs and installs new equipment and/or system modifications.Troubleshoots and performs maintenance on DC backup power equipment, process controls, programmable logic controls (PLC), and emission monitoring equipment.Uses maintenance reporting system to record time and material use, problem identified and corrected, and further action required; provides complete history of maintenance on equipment.Schedule, coordinate, work with and monitor contractors on specific tasks, as required.Follows safe working practices at all times.Identifies safety hazards and recommends solutions.Follows environmental compliance work practices.Identifies environmental non-compliance problems and assist in implementing solutions.Assists other team members and works with all departments to support generating station in achieving their performance goals.Trains other team members in the areas of instrumentation, control, and electrical systems.Performs housekeeping assignments, as directed.Conduct equipment and system tagging according to company and plant rules and regulations.Perform equipment safety inspections, as required, and record results as appropriate. Participate in small construction projects.  Read and interpret drawings, sketches, prints, and specifications, as required.Orders parts as needed to affect maintenance and repair.Performs Operations tasks on an as-needed basis and other tasks as assigned.Available within a reasonable response time for emergency call-ins and overtime, plus provide acceptable off-hour contact by phone and company pager.          Excellent Verbal and Written Communications Skills:Ability to coordinate work activities with other team members on technical subjects across job families.Ability to work weekends, holidays, and rotating shifts, as required.","QualificationsKnowledge, Skills &amp; Abilities: A high school diploma or GED is required. Must have a valid driver’s license. Ability to read, write, and communicate effectively in English.  Good math skills. Four years of experience as an I&amp;C Technician and/or Electrician in a power plant environment, preferably with a strong electrical background, up to and including, voltages to 15 KV to provide the following:Demonstrated knowledge of electrical equipment, electronics, schematics, basics of chemistry and physics and controls and instrumentation.Demonstrated knowledge of safe work practices associated with a power plant environment.Demonstrated ability to calibrate I&amp;C systems and equipment, including analytic equipment.Demonstrated ability to configure and operate various test instruments and equipment, as necessary, to troubleshoot and repair plant equipment including, but not limited to, distributed control systems, programmable logic controllers, motor control centers, transformers, generators, and continuous emissions monitor (CEM) systems.Demonstrated ability to work with others in a team environment. ","BENEFITSWhat is offered:Competitive compensation package100% matched retirement fundAnnual vacations paid for by companySignificant bonus structureOpportunity for advancement Full benefits packageAnnual performance reviews and base salary increasesAnnual cost of living increases Sound, clean, safe and enjoyable working environment &amp; Company CultureWorld renound management and executive team who promote from within, leverage careers and invest in employees for the long-term success of their careers and overall company/employee goalsQualified candidates contact: Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#   ",0,1,1,Full-time,Mid-Senior level,High School or equivalent,Oil & Energy,Other,1
102,103,Marketing Administrator,"GB, WAR, Coventry",Marketplace,15000-18000,Renewable Energy and Environmental Protection equipment,"The job is to support the growth of the #URL_9f35c886234b8e939f5403fd12ad24821ba485aee59d1581c7a35be587faa504# marketplace project. This will involve liaison with vendors, administration of the website, liaison with the website designers, interfacing between accounts and clients, and generally troubleshooting the various systems involved in running an internet marketplace. The successful candidate will be someone who is interesting in marketing and would like to grow into a bigger role within the company.","Computer literateAble to work with HTML, although coding skills not a requirementSuitably qualifiedEnthusiastic and imaginative",For a suitably motivated and success orientated person there is the possibility to work from where ever is convenient.,1,1,0,Full-time,Entry level,Bachelor's Degree,Internet,Marketing,0
134,135,Senior Business Development Manager,"GB, , Manchester",Sales and Business Development,70000-90000,"MarketInvoice is one of the most high-profile London based fin-tech companies. The Company is Europe’s leading P2P invoice finance platform that allows SMEs to quickly and flexibly sell their invoices, releasing critical working capital in the process.Our mission at MarketInvoice is to modernise the way in which SMEs finance their working capital and fund their growth. We are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street.You will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance.","BACKGROUNDA senior sales and account management role in the business development team which will see you develop high value qualified leads into a profitable portfolio of clients. This role is perfect for an experienced consultative sales professional who understands why customers need working capital and believes in the MarketInvoice mission to make business finance more efficient and transparent. KEY RESPONSIBILITIESConversion of qualified leads from multiple industry sectors to active trading accounts and the ongoing management of those accountsAchieving a sales target consisting of volume, revenue, new clients and client retentionMentoring and management of Sales Associates The role encompasses:Delivering against a specified business development strategy and target on a daily basisEngagement with CEO’s and FD’s in SME’s and mid cap businesses in the UKFace to face client meetings at board levelProviding timely and accurate reporting to the businessUse in-house data sources as well as log activity via our CRM systemUndergoing personal training and development with a route through to the MarketInvoice management team and eventually take ownership of part of the businessAttendance of external events and networking opportunitiesDealing with inbound sales leads and referrals from multiple business sectors across the UKExecuting successful sales techniques to move targets through the MarketInvoice sales funnelDriving new business generation through referrals and relationship building ","5-10 years sales experience in B2B solution sales in either the financial services or technology sector.Hold a high level of personal drive with a great work ethic and a track record of out of the ordinary value creation.Determined and ambitious with the ability to lead and coach others.Strong competitive nature with a professional attitude.Analytical, methodical and numerate.Cross functional with an understanding of the marketing mixStrong, clear and precise verbal and written communication skills.Self-driven, quality and results –oriented.Ability to work well under pressure and hold a team player mentality.Excellent knowledge of financial products available to UK business and the wider finance/investment industry including PE/VC, alternative funders and the Peer2Peer landscape.The ability to help set and define the sales strategy.Strong excel and CRM capabilities.",Based in our Manchester officeCompetitive basic salary Highly incentivised pay structureUncapped commission scheme based on monthly trading volume and revenue.25 days holidayPrivate Health Insurance,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0
153,154,Senior Project Manager,"GB, , London",Production,28000-45000,"Neverbland is a team of designers, developers and doers. Specialists in user experience, interaction design and product development. Having earned our spurs developing startups, we understand the importance of simple, elegant solutions and quick releases; matching beautiful aesthetic to functional design.We're driven by the Web's ability to unite and empower. That's why we're passionate about collaboration and the open source movement. But it's what we haven't done that really excites us. What's next?","Some of us are born with the ability to multi task, organize our lives and the lives of others with laser accuracy. Some of us aren’t. Fortunately for those of us who aren't (author of this post included), there are people like you, who can and do, with startling brilliance.You'll love working at the heart of a close-knit team to develop medium and long-term plans as much as you’ll enjoy the day-to-day remit of communicating with and delivering exciting projects to our clients. You'll have a passion for the internet and leading web technologies and whilst we don't expect you to be a developer you'll be aware of leading front and back end technologies and know your PHP from JS and CSS and be at ease writing a spec and justifying your approach to a client.You’ll be equally at home managing projects in an agile way as you are confident controlling the budgets. You’ll also relish working as part of an international team– supporting the studio and simultaneously managing and growing relationships client-side.  You’ll understand the importance of working fast and delivering on time, but never, ever at the expense of quality.This is a fantastic opportunity for a talented, ambitious hard working Producer looking for an open ended opportunity with a product focus that will be anything but dull.","2-3 years agency experience in a Producer/Project Manager role (essential)The ability to work autonomously- managing multiple projects from spec writing to budgeting across multiple clients simultaneously.Excellent verbal and written communication skills- talking, writing etc.A love for solving problems for real businesses, no matter how large.A desire to build strong, respect-driven relationships with clients and your team.A need to prioritise and schedule.Experience across a range of digital projects (social, web, e-commerce) and a good understanding of current technologies.Demonstrate a passion for the web but to equally have an active life outside it Ability to actively contribute to our team culture","Work in a dynamic, creative environment.Learn first-hand about how to start, grow and market new startups and products.Build exciting Apps that thousands of people will use and love.Work on a broad range of projects and brandsTeam lunches, drinks and - dare we say it - parties.Unlimited holidays (we trust you to get the job done, so we don't track).OTE bonus scheme paid quarterly",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Internet,Production,0
160,161,Field Services Supervisor,"US, WI, Western Wisconsin ",Field Operations,44000-57000,"Dairy, food and beverage processors work within one of the most complex, competitive and precision-driven industries.  They need a partner they can rely on to address their operational issues.  W.M. Sprinkman has been providing system design, engineering and installation as well as stainless steel manufacturing, maintenance and servicing of equipment for over 80 years.  The secret (foundation/ core) of our longevity is our incredibly talented and dedicated staff from sales to service, concepts to installation.  ","W.M. Sprinkman designs, builds and installs stainless steel processing systems for the dairy, food and beverages industry.  We're a rapidly growing organization with TANKS of opportunity for enthusiastic, team-oriented people with a passion for delighting our customers.  We're looking for a Field Services Coordinator who will be responsible for all aspects of field service including scoping, scheduling and staffing assignments, procurement and follow-up. ESSENTIAL DUTIES AND RESPONSIBILITIES include the following:Job definition/ScopeWorks with customers to understand scope of field service projects.When necessary, participates in kick-off meeting with customer and assumes the role of on-site manager for installations.When necessary, prepares and delivers estimates to customers for field service.Tracks and documents change orders to ensure proper billing at project completion.Manages procurement process and ensures material is ordered and sent to job sites on time.  Receives inbound requests for additional material from field and determines proper course of action with purchasing.On occasion acts as sales lead for field service work to develop business. Service delivery managementResponsible for direction and management of on-site field service crews.Works with field service crews to ensure all aspects of job are complete.Works with Shop Foreman for scheduling of resources at job sites.OperationsEnsures all safety requirements are met.Ensures all DOT requirements are adhered to.Ensures Sprinkman quality standards are upheld within field service organization.Develops written reporting procedures for all field service work performed.Ensures accurate records of all field service calls are maintained.Reviews all customer billings to ensure accuracy.Maintains organization of and maintenance of field service vehicles and equipment.Tracks and maintains records of warranty work.","5-7 years of experience in fabrication and/or field service, preferably in the food and beverage industry with 3-5 years of supervisory experience or an equivalent combination of skills and experience.Proven ability to work in a cross-functional team environment. ","We provide a solid benefits package with health, dental, vision, 401(k) and long and short-term disability, plus a company-wide profit sharing program. ",0,0,0,Full-time,Associate,High School or equivalent,Mechanical or Industrial Engineering,Manufacturing,0
179,180,Internal Recruiter,"GB, LND, London",Playfair Capital,20000-40000,Playfair Capital is an early stage technology investment fund based in London. ,You will be responsible for hiring across a portfolio of companies. ,"Previous recruitment experience in fast growth, tech driven companies. ",Work will an awesome group of companies and be an integral part of their ability to grow and succeed. ,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Human Resources,0
197,198,Software developer,"IN, MP, Indore",Software development,360000-600000,"Being into the IT domain for over 4 years, Walkover specializes in web based application development and mobile application development. It has been creating innovative products since it was founded and continues to introduce new products from time to time.Technologies we useCore PHP, Python, #URL_968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659#, Android, Windows, open source software and powerful AWS servers. Walkover uses the best available technology - premium version of databases and so on, so that our products work smoothly.Key ProductsMSG91 (SMS solutions provider)MSG91 is an internet based service that allows you to send SMS and critical alerts to the masses.Product info:#URL_dec6f6c8d9574a0bc1a076d97338f24cd6025226211457c53c3687296348c0f4#UtterU (International calling)UtterU enables international calling by using mobile dialers, access numbers and other ways like two-way calling.  It helps you connect all over the world at very low cost.Product info: #URL_c7cee061daffb40439ee81a61a60ff7f68ca42dd3fd22258a611ff29d71dbae5#Giddh (Accounting software)Giddh is an extremely simple to use Accounting software that manages your day to day financial transactions in a systematic way so that it enhances the efficiency of your business.Product info: #URL_50c92cae3ee0f3f612d663ce1c86fd894e4c1a6247b98a273f0c828e13c68de2#Saveandsearch (Save your documents now to search them later)A web based tool which enables you to save anything and search later.Product info: #URL_cbcbf9e91b0d65022dfffc9fcab1f6005b8f6f42b967c08f21d13332ff197003#","Is coding just a task for you, or something to play with?Do you know some of the very basic things like: File handling, Javascript, Jquery and AJAX? Or, how about playing with this: How to reverse a string without using extra memory? For example: Convert $str= ""hello\n"" to ""olleh\n"" without using any extra memory variable.You can think of working with us only if you have an answer to something of this level. Why would there be a need otherwise to waste the time of You And I In This Beautiful World, Oo oo!Must have's:Expertise in MySQL or mongoDB and experience to handle large amount of data.Knowledge of Python, #URL_968b3a839b798052f33a95a811f8b2366cd66f6bcc98f2885bea5ee47d000659#,core PHP and other technologies would be an added advantage.Can handle issues like db crash, high load, db migration etc.Good command over PHP,Java, JavaScript, any other technology.Clear programming fundamentals.Experience with Object Oriented Programming.Can play with multidimensional array.Can develop web services at advanced level.Sound in visualizing and writing high end code.Carries awareness about the market trends that dictate Software development.Clarity of Interfaces, Constructors, Polymorphism   Static methods.Let us know if you are an ethical hacker.",Min. 1 year in Web Development ,In-house product development with a chance to try hands on research and development.,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Information Technology,0
